PROVNO,KABKOTNO,PROVINSI,KABKOT
11,01,ACEH,SIMEULUE
11,02,ACEH,ACEH SINGKIL
11,02,ACEH,ACEH SINGKIL
11,03,ACEH,ACEH SELATAN
11,04,ACEH,ACEH TENGGARA
11,05,ACEH,ACEH TIMUR
11,06,ACEH,ACEH TENGAH
11,07,ACEH,ACEH BARAT
11,08,ACEH,ACEH BESAR
11,09,ACEH,PIDIE
11,10,ACEH,BIREUEN
11,11,ACEH,ACEH UTARA
11,12,ACEH,ACEH BARAT DAYA
11,13,ACEH,GAYO LUES
11,14,ACEH,ACEH TAMIANG
11,15,ACEH,NAGAN RAYA
11,16,ACEH,ACEH JAYA
11,17,ACEH,BENER MERIAH
11,18,ACEH,PIDIE JAYA
11,71,ACEH,BANDA ACEH
11,72,ACEH,SABANG
11,73,ACEH,LANGSA
11,74,ACEH,LHOKSEUMAWE
11,75,Nanggroe Aceh Darussalam,SUBULUSSALAM
12,01,SUMATERA UTARA,NIAS
12,02,SUMATERA UTARA,MANDAILING NATAL
12,03,SUMATERA UTARA,TAPANULI SELATAN
12,04,SUMATERA UTARA,TAPANULI TENGAH
12,05,SUMATERA UTARA,TAPANULI UTARA
12,06,SUMATERA UTARA,TOBA SAMOSIR
12,07,SUMATERA UTARA,LABUHAN BATU
12,08,SUMATERA UTARA,ASAHAN
12,09,SUMATERA UTARA,SIMALUNGUN
12,10,SUMATERA UTARA,DAIRI
12,11,SUMATERA UTARA,KARO
12,12,SUMATERA UTARA,DELI SERDANG
12,13,SUMATERA UTARA,LANGKAT
12,14,SUMATERA UTARA,NIAS SELATAN
12,15,SUMATERA UTARA,HUMBANG HASUNDUTAN
12,16,SUMATERA UTARA,PAKPAK BHARAT
12,17,SUMATERA UTARA,SAMOSIR
12,18,SUMATERA UTARA,SERDANG BEDAGAI
12,19,SUMATERA UTARA,BATU BARA
12,20,SUMATERA UTARA,PADANG LAWAS UTARA
12,21,SUMATERA UTARA,PADANG LAWAS
12,22,SUMATERA UTARA,LABUHAN BATU SELATAN
12,23,SUMATERA UTARA,LABUHAN BATU UTARA
12,24,SUMATERA UTARA,NIAS UTARA
12,25,SUMATERA UTARA,NIAS BARAT
12,71,SUMATERA UTARA,SIBOLGA
12,72,SUMATERA UTARA,TANJUNG BALAI
12,73,SUMATERA UTARA,PEMATANG SIANTAR
12,74,SUMATERA UTARA,TEBING TINGGI
12,75,SUMATERA UTARA,MEDAN
12,76,SUMATERA UTARA,BINJAI
12,77,SUMATERA UTARA,PADANGSIDIMPUAN
12,78,SUMATERA UTARA,GUNUNGSITOLI
12,88,SUMATERA UTARA,DANAU TOBA
13,01,SUMATERA BARAT,KEPULAUAN MENTAWAI
13,02,SUMATERA BARAT,PESISIR SELATAN
13,03,SUMATERA BARAT,SOLOK
13,04,SUMATERA BARAT,SIJUNJUNG
13,05,SUMATERA BARAT,TANAH DATAR
13,06,Sumatera Barat,Padang Pariaman
13,07,SUMATERA BARAT,AGAM
13,08,SUMATERA BARAT,LIMA PULUH KOTA
13,09,SUMATERA BARAT,PASAMAN
13,10,SUMATERA BARAT,SOLOK SELATAN
13,11,SUMATERA BARAT,DHARMASRAYA
13,12,SUMATERA BARAT,PASAMAN BARAT
13,71,SUMATERA BARAT,PADANG
13,72,SUMATERA BARAT,SOLOK
13,73,SUMATERA BARAT,SAWAH LUNTO
13,74,SUMATERA BARAT,PADANG PANJANG
13,75,SUMATERA BARAT,BUKITTINGGI
13,76,SUMATERA BARAT,PAYAKUMBUH
13,77,SUMATERA BARAT,PARIAMAN
13,88,SUMATERA BARAT,DANAU
14,01,RIAU,KUANTAN SINGINGI
14,02,RIAU,INDRAGIRI HULU
14,03,RIAU,INDRAGIRI HILIR
14,04,RIAU,PELALAWAN
14,05,RIAU,S I A K
14,06,RIAU,KAMPAR
14,07,RIAU,ROKAN HULU
14,08,RIAU,BENGKALIS
14,09,RIAU,ROKAN HILIR
14,10,RIAU,KEPULAUAN MERANTI
14,71,RIAU,PEKANBARU
14,73,RIAU,D U M A I
15,01,JAMBI,KERINCI
15,02,JAMBI,MERANGIN
15,03,JAMBI,SAROLANGUN
15,04,JAMBI,BATANG HARI
15,05,JAMBI,MUARO JAMBI
15,06,JAMBI,TANJUNG JABUNG TIMUR
15,07,JAMBI,TANJUNG JABUNG BARAT
15,08,JAMBI,TEBO
15,09,JAMBI,BUNGO
15,71,JAMBI,JAMBI
15,72,JAMBI,SUNGAI PENUH
16,01,SUMATERA SELATAN,OGAN KOMERING ULU
16,02,SUMATERA SELATAN,OGAN KOMERING ILIR
16,03,SUMATERA SELATAN,MUARA ENIM
16,04,SUMATERA SELATAN,LAHAT
16,05,SUMATERA SELATAN,MUSI RAWAS
16,06,SUMATERA SELATAN,MUSI BANYUASIN
16,07,SUMATERA SELATAN,BANYUASIN
16,08,SUMATERA SELATAN,OGAN KOMERING ULU SELATAN
16,09,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR
16,10,SUMATERA SELATAN,OGAN ILIR
16,11,SUMATERA SELATAN,EMPAT LAWANG
16,12,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR
16,13,SUMATERA SELATAN,MUSI RAWAS UTARA
16,71,SUMATERA SELATAN,PALEMBANG
16,72,SUMATERA SELATAN,PRABUMULIH
16,73,SUMATERA SELATAN,PAGAR ALAM
16,74,SUMATERA SELATAN,LUBUKLINGGAU
16,88,SUMATERA SELATAN,DANAU
17,01,BENGKULU,BENGKULU SELATAN
17,02,BENGKULU,REJANG LEBONG
17,03,BENGKULU,BENGKULU UTARA
17,04,BENGKULU,KAUR
17,05,BENGKULU,SELUMA
17,06,BENGKULU,MUKOMUKO
17,07,BENGKULU,LEBONG
17,08,BENGKULU,KEPAHIANG
17,09,BENGKULU,BENGKULU TENGAH
17,71,BENGKULU,BENGKULU
18,01,LAMPUNG,LAMPUNG BARAT
18,02,LAMPUNG,TANGGAMUS
18,03,LAMPUNG,LAMPUNG SELATAN
18,04,LAMPUNG,LAMPUNG TIMUR
18,05,LAMPUNG,LAMPUNG TENGAH
18,06,LAMPUNG,LAMPUNG UTARA
18,07,LAMPUNG,WAY KANAN
18,08,LAMPUNG,TULANGBAWANG
18,09,LAMPUNG,PESAWARAN
18,10,LAMPUNG,PRINGSEWU
18,11,LAMPUNG,MESUJI
18,12,LAMPUNG,TULANG BAWANG BARAT
18,13,LAMPUNG,PESISIR BARAT
18,71,LAMPUNG,BANDAR LAMPUNG
18,72,LAMPUNG,METRO
18,88,LAMPUNG,DANAU
19,01,KEPULAUAN BANGKA BELITUNG,BANGKA
19,02,KEPULAUAN BANGKA BELITUNG,BELITUNG
19,03,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT
19,04,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH
19,05,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN
19,06,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR
19,71,KEPULAUAN BANGKA BELITUNG,PANGKAL PINANG
21,01,KEPULAUAN RIAU,KARIMUN
21,02,KEPULAUAN RIAU,BINTAN
21,03,KEPULAUAN RIAU,NATUNA
21,04,KEPULAUAN RIAU,LINGGA
21,05,KEPULAUAN RIAU,KEPULAUAN ANAMBAS
21,71,KEPULAUAN RIAU,B A T A M
21,72,KEPULAUAN RIAU,TANJUNG PINANG
31,01,DKI JAKARTA,KEPULAUAN SERIBU
